label,sentence
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"What are the requirements for obtaining a visa for scientific research in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"What are the qualifications for obtaining a work visa in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"What are the qualifications for obtaining a work visa in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"How can I apply for a family reunion visa for my spouse and children in Spain?"
0,"I'm a fan of Spanish contemporary sculpture."
1,"¿Cuáles son las condiciones para obtener una visa de trabajo temporal en España?"
0,"I want to experience the vibrant atmosphere of Madrid's Puerta del Sol."
1,"What is the process for obtaining a visa for internships in Spain?"
0,"I enjoy the Spanish tradition of afternoon siestas."
1,"¿Cuáles son los requisitos para una visa de residencia para inversionistas en España?"
0,"I plan to explore the historic Jewish quarter of Toledo."
1,"How can I apply for a visa for volunteer work in Spain?"
0,"I'm a fan of Spanish urban street art."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"What is the process for obtaining a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"What are the qualifications for obtaining a work visa in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"How can I apply for a family reunion visa for my spouse and children in Spain?"
0,"I'm a fan of Spanish contemporary sculpture."
1,"¿Cuáles son las condiciones para obtener una visa de trabajo temporal en España?"
0,"I want to experience the vibrant atmosphere of Madrid's Puerta del Sol."
1,"What is the process for obtaining a visa for internships in Spain?"
0,"I enjoy the Spanish tradition of afternoon siestas."
1,"¿Cuáles son los requisitos para una visa de residencia para inversionistas en España?"
0,"I plan to explore the historic Jewish quarter of Toledo."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"How long does it take to process a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"How long does it take to process a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"How long does it take to process a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"How long does it take to process a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de catástrofes en España?"
0,"I want to experience the Carnival of Cádiz, Spain."
1,"What is the process for obtaining a visa for family caregivers in Spain?"
0,"I enjoy watching Spanish nature documentaries."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector agrícola en España?"
0,"I want to experience the enchanting Alhambra in Granada, Spain."
1,"How long does it take to process a visa for retirees in Spain?"
0,"I enjoy the traditional Spanish pottery and ceramics."
1,"¿Cuáles son los requisitos para una visa de trabajo temporal en el sector de la construcción en España?"
0,"I plan to visit the historic city walls of Ávila."
1,"How long does it take to process a visa for seasonal agricultural work in Spain?"
0,"I'm a fan of Spanish contemporary theater productions."
1,"What are the qualifications for obtaining a work visa in Spain?"
0,"I enjoy exploring Spanish museums and art galleries."
1,"¿Cuál es la duración máxima de una visa de turista en España?"
0,"I plan to hike in the Spanish national parks."
1,"How can I apply for a family reunion visa for my parents in Spain?"
0,"I'm a fan of Spanish flamenco music."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados con inversiones en España?"
0,"I want to experience the excitement of Spanish bullfighting."
1,"What is the process for obtaining a talent visa for artists and performers in Spain?"
0,"I enjoy trying traditional Spanish dishes like paella."
1,"¿Cuál es el procedimiento para obtener la residencia por inversión en bienes raíces en España?"
0,"I plan to explore the historic architecture of Spanish cities."
1,"How long does it take to process a student visa application for Spain?"
0,"I'm a fan of Spanish street performers."
1,"¿Cuáles son las tasas de matrícula para estudiantes extranjeros en universidades españolas?"
0,"I want to witness the excitement of the Running of the Bulls in Pamplona."
1,"What is the process for obtaining a visa for language study programs in Spain?"
0,"I enjoy the vibrant nightlife of Spanish cities."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de desastres naturales en España?"
0,"I plan to attend a Spanish flamenco music concert."
1,"How can I apply for a sports visa to compete in Spain?"
0,"I'm a fan of Spanish contemporary art exhibitions."
1,"¿Cuáles son los requisitos para una visa de residencia para artistas y creativos en España?"
0,"I want to experience the Semana Santa processions in Spain."
1,"What is the procedure for obtaining a visa for religious workers and missionaries in Spain?"
0,"I enjoy the traditional Spanish custom of tapas."
1,"¿Cuáles son los derechos laborales de los trabajadores extranjeros en España?"
0,"I plan to visit the historic town of Tarragona."
1,"How long does it take to process a skilled worker visa application for Spain?"
0,"I'm a fan of Spanish contemporary dance performances."
1,"¿Cuáles son las tasas de matrícula para programas de posgrado en universidades españolas?"
0,"I want to explore the natural beauty of the Spanish countryside."
1,"What is the process for obtaining a visa for scientific research and scholars in Spain?"
0,"I enjoy the cultural diversity of Spanish festivals."
1,"¿Cuáles son las condiciones para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to attend a Spanish wine tasting event."
1,"How can I apply for an entrepreneur visa for startup ventures in Spain?"
0,"I'm a fan of Spanish electronic music festivals."
1,"¿Cuáles son los requisitos para una visa de residencia para profesionales médicos en España?"
0,"I want to witness the Feria de Abril in Seville."
1,"What is the process for obtaining a visa for humanitarian purposes in Spain?"
0,"I enjoy exploring the historic sites of Spain's ancient civilizations."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar para hijos en España?"
0,"I plan to visit the traditional bodegas of La Mancha."
1,"How can I apply for a religious studies visa in Spain?"
0,"I'm a fan of Spanish contemporary photography."
1,"¿Cuáles son los derechos laborales de los estudiantes extranjeros que trabajan en España?"
0,"I want to experience the lively atmosphere of Valencia's Fallas festival."
1,"What is the process for obtaining a visa for cultural exchange and arts programs in Spain?"
0,"I enjoy the traditional Spanish art of flamenco dance."
1,"¿Cuáles son los requisitos para una visa humanitaria en caso de emergencias médicas en España?"
0,"I plan to visit the historic Roman ruins in Mérida, Spain."
1,"How can I apply for a family reunion visa for my spouse and children in Spain?"
0,"I'm a fan of Spanish contemporary sculpture."
1,"¿Cuáles son las condiciones para obtener una visa de trabajo temporal en España?"
0,"I want to experience the vibrant atmosphere of Madrid's Puerta del Sol."
1,"What is the process for obtaining a visa for internships in Spain?"
0,"I enjoy the Spanish tradition of afternoon siestas."
1,"¿Cuáles son los requisitos para una visa de residencia para inversionistas en España?"
0,"I plan to explore the historic Jewish quarter of Toledo."
